ID,Purpose,Purpose Code,Amount,Frequency
7490,D,4,596,10.8
7491,D,4,1270,8.47
7492,C,3,12888,11.48
7493,C,3,14686,14.74
7494,A,1,44559,7.53
7495,B,2,2398,2.86
7496,C,3,20043,12.47
7497,A,1,43654,6.79
7498,A,1,51131,4.21
7499,C,3,14047,21.31
7500,B,2,1877,4
7501,C,3,20681,15.93
7502,C,3,23651,22.93
7503,C,3,21029,16.17
7504,A,1,45350,8.06
7505,A,1,51812,6.03
7506,A,1,51130,3.32
7507,C,3,17625,13.87
7508,C,3,19261,12.94
7509,C,3,14425,10.93
7510,B,2,4224,3.45
7511,D,4,599,12.73
7512,D,4,1304,10.43
7513,A,1,50606,5.46
7514,C,3,10343,16.23
7515,A,1,59156,7.11
7516,B,2,1147,3.23
7517,C,3,11192,14.27
7518,C,3,19598,20.17
7519,A,1,49488,8.35
7520,B,2,730,2.61
7521,B,2,2134,4.07
7522,D,4,1227,10.36
7523,C,3,15673,13.94
7524,D,4,869,7.89
7525,C,3,20519,11.12
7526,A,1,49616,10.58
7527,D,4,811,11.17
7528,B,2,1750,2.22
7529,B,2,233,3.66
7530,D,4,54,3.85
7531,C,3,3446,17.27
7532,C,3,15985,18.82
7533,C,3,16183,16.62
7534,C,3,22727,18.37
7535,D,4,209,8.37
7536,D,4,479,11.24
7537,A,1,44229,4.11
7538,B,2,2075,3.5
7539,D,4,339,8.88
7540,C,3,23531,14.11
7541,B,2,1271,3.01
7542,B,2,3297,2.66
7543,A,1,49927,7.45
7544,A,1,53477,6.41
7545,A,1,48551,8.72
7546,A,1,49786,6.12
7547,D,4,352,8.97
7548,D,4,94,7.4
7549,B,2,1896,2.64
7550,C,3,21193,20.32
7551,D,4,1224,7.05
7552,D,4,780,11.77
7553,D,4,1356,11.96
7554,A,1,57806,7.18
7555,B,2,114,2.64
7556,A,1,50624,5.17
7557,D,4,984,10.83
7558,C,3,20084,18.54
7559,D,4,226,12.31
7560,A,1,52437,4.7
7561,D,4,463,8.56
7562,A,1,55933,8.17
7563,D,4,765,12.12
7564,B,2,3020,2.16
7565,A,1,53128,8.38
7566,A,1,52478,6.24
7567,B,2,1106,2.69
7568,B,2,1831,2.28
7569,D,4,616,10.7
7570,A,1,46377,6.46
7571,A,1,46813,8.14
7572,C,3,23909,18.26
7573,B,2,403,5.17
7574,C,3,10329,16.62
7575,C,3,17054,17.67
7576,A,1,47521,8.41
7577,D,4,215,7.4
7578,B,2,1109,2.25
7579,B,2,3994,3.01
7580,A,1,48521,2.84
7581,A,1,47957,5.63
7582,A,1,50497,7.76
7583,C,3,9876,14.15
7584,B,2,4110,3.37
7585,D,4,1078,7.79
7586,B,2,2539,3.84
7587,D,4,364,12.73
7588,A,1,52338,5.49
7589,B,2,5303,4.02
7590,D,4,198,9.53
7591,B,2,2157,1.95
7592,B,2,3917,2.11
7593,A,1,52281,6.81
7594,C,3,19089,16.98
7595,A,1,49628,8.76
7596,D,4,206,10.06
7597,C,3,8575,11.88
7598,D,4,328,7.95
7599,D,4,759,7.36
7600,A,1,50337,5.86
7601,C,3,11523,15.72
7602,D,4,1649,9.26
7603,C,3,17499,15.43
7604,C,3,11330,15.03
7605,A,1,50774,6.85
7606,D,4,678,13.22
7607,D,4,1282,13.99
7608,A,1,43714,5.35
7609,C,3,10053,13.66
7610,D,4,1125,9.1
7611,C,3,20955,8.41
7612,D,4,1510,10.35
7613,C,3,11354,21.51
7614,C,3,15406,18.5
7615,A,1,51225,5.24
7616,C,3,12748,17.4
7617,D,4,420,10.26
7618,B,2,3595,2.51
7619,A,1,42722,5.02
7620,C,3,15818,14.03
7621,C,3,4590,16.73
7622,A,1,52141,8.81
7623,B,2,2895,3.91
7624,B,2,3636,3.95
7625,B,2,364,3.73
7626,C,3,8674,18.79
7627,C,3,10885,15.84
7628,B,2,980,3.11
7629,D,4,700,9.65
7630,A,1,49379,8.98
7631,D,4,442,11.47
7632,A,1,49867,5.35
7633,D,4,555,9.82
7634,B,2,875,3.16
7635,B,2,3920,3.38
7636,A,1,52310,5.54
7637,C,3,14602,12.52
7638,D,4,1704,8.1
7639,D,4,585,11.85
7640,C,3,10172,12.23
7641,D,4,555,12.39
7642,C,3,13487,14.66
7643,D,4,446,9.19
7644,D,4,1037,12.35
7645,D,4,1487,9.55
7646,C,3,17407,17.39
7647,A,1,50010,7.01
7648,A,1,48064,6.73
7649,D,4,552,13.63
7650,D,4,891,11.44
7651,B,2,1753,3.09
7652,C,3,11263,15.8
7653,B,2,608,4.08
7654,B,2,167,2.93
7655,C,3,11868,18.12
7656,D,4,1085,6.52
7657,D,4,1612,10.21
7658,D,4,751,8.65
7659,B,2,3921,3.74
7660,C,3,21529,11.3
7661,B,2,1005,3.46
7662,C,3,17520,17.74
7663,B,2,541,2.58
7664,D,4,1615,11.96
7665,C,3,20335,17.89
7666,D,4,813,12.44
7667,B,2,4426,4.11
7668,D,4,933,11.6
7669,B,2,106,2.9
7670,C,3,16632,19.21
7671,A,1,51994,6.46
7672,A,1,45356,6.8
7673,D,4,268,8.38
7674,C,3,6486,22.92
7675,B,2,2057,3.43
7676,D,4,434,11.51
7677,A,1,55004,10.06
7678,A,1,45337,6.24
7679,C,3,10319,14.42
7680,D,4,233,12.68
7681,C,3,18252,15.27
7682,D,4,1049,10.31
7683,A,1,53411,6.47
7684,A,1,53330,4.64
7685,B,2,1281,4.33
7686,D,4,1684,11.94
7687,A,1,51379,4.32
7688,C,3,10305,14.45
7689,D,4,729,7.72
7690,A,1,50116,7.97
7691,A,1,51307,7.71
7692,D,4,893,9.48
7693,B,2,5149,2.65
7694,A,1,52599,3.58
7695,C,3,8328,15.02
7696,D,4,924,12.61
7697,D,4,873,10.7
7698,B,2,2237,1.98
7699,D,4,601,9.09
7700,B,2,1913,3.4
7701,C,3,11092,15.42
7702,C,3,13872,17.33
7703,A,1,55232,6.33
7704,A,1,47514,4.19
7705,B,2,482,3.47
7706,A,1,49076,6.12
7707,A,1,50089,5.96
7708,D,4,1634,10.72
7709,D,4,1429,8.48
7710,D,4,847,7.13
7711,D,4,1363,8.87
7712,C,3,3833,19.48
7713,A,1,44732,5.67
7714,B,2,2175,3.21
7715,B,2,2790,4.4
7716,B,2,1754,2.09
7717,A,1,48664,9.34
7718,D,4,815,9.69
7719,A,1,49906,5.13
7720,A,1,49716,7.42
7721,B,2,9,2.43
7722,A,1,50447,9.42
7723,A,1,45586,6.98
7724,C,3,18187,14.71
7725,B,2,1965,4.27
7726,D,4,229,9.62
7727,D,4,1045,10.88
7728,A,1,50713,8.12
7729,B,2,2719,3.55
7730,C,3,9670,13.74
7731,D,4,665,12.77
7732,D,4,1098,8.42
7733,A,1,53269,7.83
7734,A,1,50923,9.04
7735,D,4,1146,10.44
7736,A,1,53203,2.25
7737,A,1,51581,8.58
7738,A,1,53830,8.16
7739,C,3,13864,13.51
7740,B,2,1717,2.62
7741,B,2,668,2.21
7742,B,2,1249,3.52
7743,B,2,323,3.73
7744,C,3,18745,18.28
7745,A,1,48142,7.62
7746,A,1,43433,3.23
7747,B,2,3377,2.66
7748,A,1,47201,5.61
7749,D,4,583,13.89
7750,C,3,15297,11.64
7751,C,3,15516,13.32
7752,C,3,12741,19.09
7753,D,4,678,9.26
7754,C,3,11201,16.07
7755,A,1,47543,6.5
7756,A,1,50999,3.71
7757,A,1,52792,2.82
7758,B,2,2469,2.72
7759,C,3,9350,14.92
7760,C,3,15572,13.42
7761,A,1,55213,6.45
7762,C,3,10201,16.26
7763,B,2,1543,2.3
7764,C,3,19526,16.37
7765,C,3,12542,18.6
7766,B,2,3200,1.65
7767,D,4,714,7.17
7768,B,2,3041,3.02
7769,A,1,46075,7.16
7770,C,3,18703,14.24
7771,D,4,2412,11.92
7772,B,2,922,3.95
7773,C,3,15511,15.88
7774,B,2,3656,3.29
7775,D,4,422,9.91
7776,A,1,55670,3.38
7777,C,3,12952,16.49
7778,D,4,1374,10.33
7779,B,2,1696,2.78
7780,B,2,394,3.28
7781,A,1,44944,3.69
7782,D,4,994,10.88
7783,B,2,2443,3.02
7784,A,1,53748,7.18
7785,D,4,553,8.22
7786,B,2,1691,4.17
7787,C,3,14015,15.6
7788,C,3,19848,18.78
7789,B,2,2972,3.94
7790,D,4,1338,10.62
7791,D,4,1256,11.02
7792,A,1,51053,7.09
7793,C,3,16060,23.88
7794,D,4,1021,10.47
7795,D,4,131,6.3
7796,A,1,51111,10.22
7797,C,3,7418,12.11
7798,B,2,424,2.6
7799,D,4,552,10.7
7800,B,2,281,4.41
7801,C,3,17190,22.03
7802,B,2,890,1.54
7803,B,2,5354,3.12
7804,A,1,53843,10.62
7805,C,3,21575,14.26
7806,A,1,52739,7.38
7807,D,4,1172,9.75
7808,C,3,23000,17.76
7809,C,3,13682,14.43
7810,D,4,1274,8.24
7811,C,3,10999,17.97
7812,A,1,57256,7.3
7813,A,1,45692,5.81
7814,C,3,19965,15.08
7815,D,4,345,11.45
7816,D,4,1291,9.62
7817,B,2,2925,2.64
7818,D,4,224,13.71
7819,A,1,51227,5.9
7820,A,1,48824,5.7
7821,C,3,13184,17.44
7822,B,2,4371,3.99
7823,A,1,46711,8.68
7824,A,1,54952,3.5
7825,C,3,20943,13.37
7826,A,1,49103,5.68
7827,C,3,7987,12.65
7828,A,1,50337,8.59
7829,A,1,47621,3.03
7830,B,2,1621,2.96
7831,B,2,1842,3.6
7832,B,2,4863,3.1
7833,C,3,21527,13.82
7834,A,1,46908,5.67
7835,D,4,608,9.65
7836,D,4,1034,14.7
7837,C,3,17984,12.56
7838,B,2,1280,2.39
7839,D,4,894,12.42
7840,B,2,4764,4.35
7841,D,4,990,11.97
7842,C,3,17281,9.78
7843,A,1,47566,10.96
7844,A,1,49986,8.96
7845,A,1,47684,5.07
7846,B,2,2062,3.81
7847,D,4,292,6.7
7848,D,4,993,11.67
7849,B,2,5916,4.04
7850,A,1,55422,10.2
7851,B,2,4540,3.06
7852,D,4,12,12.76
7853,B,2,4655,2.71
7854,D,4,166,10.21
7855,B,2,1628,3.22
7856,D,4,762,12.13
7857,C,3,17122,14.53
7858,B,2,115,3.18
7859,B,2,420,3.68
7860,D,4,1181,11.76
7861,B,2,3204,2.97
7862,C,3,45000,0.08
7863,D,4,176,11.74
7864,B,2,1912,5.71
7865,A,1,47371,8.54
7866,D,4,345,11.38
7867,A,1,54856,5.39
7868,C,3,18819,17.68
7869,A,1,49638,7.97
7870,B,2,339,4.4
7871,A,1,49611,7.14
7872,D,4,1346,7.34
7873,D,4,1146,5.92
7874,D,4,1230,8.35
7875,B,2,6108,1.81
7876,A,1,50215,5.74
7877,B,2,3785,3.34
7878,C,3,9939,17.77
7879,B,2,4527,2.98
7880,C,3,21611,14.08
7881,C,3,14148,16.45
7882,D,4,1611,8.93
7883,D,4,1280,10.28
7884,B,2,821,2.94
7885,B,2,1613,3.93
7886,D,4,416,11.83
7887,D,4,1404,8.96
7888,C,3,22058,17.83
7889,A,1,49881,7.11
7890,D,4,1116,13.08
7891,C,3,13328,14.03
7892,D,4,789,9.7
7893,D,4,360,9.92
7894,A,1,41421,7.84
7895,D,4,475,5.68
7896,B,2,2914,3.28
7897,D,4,485,12.18
7898,C,3,8864,16.91
7899,A,1,49517,5.1
7900,C,3,15502,15.23
7901,C,3,24071,9.76
7902,B,2,2032,3.76
7903,D,4,1242,8.07
7904,C,3,15212,16.02
7905,A,1,47624,3.37
7906,A,1,52925,5.79
7907,A,1,50136,6.81
7908,C,3,14926,19.28
7909,A,1,44065,5.13
7910,B,2,1227,2.88
7911,D,4,1064,10.16
7912,A,1,53590,5.68
7913,D,4,869,10.05
7914,A,1,52562,3.74
7915,A,1,53187,6.17
7916,B,2,1176,3.92
7917,D,4,760,5.94
7918,D,4,401,12.86
7919,A,1,49564,4.83
7920,B,2,3169,2.85
7921,C,3,10332,11.15
7922,D,4,886,15.36
7923,C,3,12355,15.26
7924,B,2,3868,3.23
7925,B,2,2590,2.66
7926,C,3,19389,14.84
7927,A,1,49285,5.91
7928,D,4,657,10.12
7929,A,1,52560,5.5
7930,B,2,509,3.63
7931,B,2,4424,4.21
7932,A,1,53191,8.2
7933,A,1,53582,7.71
7934,C,3,15981,16.49
7935,C,3,22243,15.8
7936,D,4,501,11.31
7937,B,2,2608,3.26
7938,A,1,48522,5.75
7939,D,4,525,9.61
7940,D,4,939,8.15
7941,D,4,473,7.64
7942,D,4,615,10.51
7943,A,1,50146,4.7
7944,B,2,4248,3.1
7945,C,3,8952,17.98
7946,A,1,48932,7.22
7947,D,4,1056,16.4
7948,C,3,10116,19.94
7949,A,1,53690,1.59
7950,A,1,46457,5.14
7951,A,1,49645,3.71
7952,D,4,787,7.46
7953,C,3,13493,16.98
7954,C,3,13025,18.23
7955,D,4,437,13.19
7956,A,1,50136,9.92
7957,C,3,12621,17.76
7958,A,1,48780,3.34
7959,D,4,1039,13.19
7960,B,2,2523,4.48
7961,C,3,25994,19.5
7962,C,3,7864,17.53
7963,D,4,688,8.51
7964,C,3,9794,13.15
7965,C,3,7677,19.82
7966,B,2,3955,3.7
7967,B,2,1070,2.26
7968,D,4,970,10
7969,D,4,241,6.99
7970,A,1,53041,8.46
7971,D,4,1211,7.07
7972,C,3,16838,18.08
7973,A,1,50923,6.02
7974,A,1,48579,2.5
7975,D,4,299,10.18
7976,C,3,19266,18.25
7977,A,1,56944,4.45
7978,B,2,4903,4.04
7979,B,2,730,4.14
7980,C,3,20785,14.42
7981,A,1,47708,5.02
7982,D,4,1009,11.44
7983,D,4,856,11.11
7984,A,1,53759,7.81
7985,C,3,8425,14.29
7986,D,4,871,10.37
7987,B,2,50,2.33
7988,C,3,10873,21.26
7989,D,4,766,7.6
7990,B,2,713,3.35
7991,B,2,4730,2.26
7992,A,1,51855,8.02
7993,D,4,315,14.25
7994,D,4,1268,10.83
7995,B,2,3060,4.13
7996,A,1,48319,5.19
7997,B,2,6201,4.38
7998,D,4,1314,10.94
7999,A,1,54840,8.46
8000,D,4,209,10.71
8001,B,2,2084,1.93
8002,B,2,779,3.01
8003,C,3,17883,14.34
8004,C,3,5004,20.25
8005,B,2,3691,2.87
8006,D,4,863,8.26
8007,C,3,10191,21.5
8008,A,1,54554,8.12
8009,D,4,1088,10.71
8010,C,3,19046,12.68
8011,B,2,1626,2.1
8012,B,2,1771,3.53
8013,C,3,18949,20.64
8014,D,4,1001,8.67
8015,D,4,1329,10.74
8016,B,2,4306,2
8017,D,4,869,8.36
8018,D,4,245,9.34
8019,A,1,48702,4.06
8020,D,4,997,8.54
8021,A,1,48178,9.48
8022,A,1,50646,6.46
8023,B,2,1540,3.19
8024,B,2,1199,4.91
8025,C,3,12036,17.02
8026,A,1,56385,8.19
8027,B,2,1208,3.26
8028,A,1,50363,5.97
8029,A,1,51494,5.67
8030,A,1,50465,7.98
8031,D,4,1090,11.71
8032,D,4,149,9.48
8033,D,4,1342,11.74
8034,D,4,489,7.62
8035,B,2,4453,2.91
8036,D,4,616,7.9
8037,B,2,2913,5.71
8038,A,1,44549,5.67
8039,C,3,17496,15.35
8040,B,2,3535,3.33
8041,B,2,3256,1.7
8042,D,4,970,13.01
8043,B,2,538,2.73
8044,B,2,4170,1.9
8045,B,2,623,3.34
8046,B,2,4032,4.47
8047,B,2,1968,3.41
8048,B,2,6314,4.29
8049,C,3,14151,12.08
8050,D,4,600,11.7
8051,A,1,52804,9
8052,B,2,1981,2.3
8053,B,2,917,2.53
8054,D,4,551,8.4
8055,D,4,1282,10.44
8056,B,2,1647,1.85
8057,B,2,1645,3.19
8058,D,4,507,9.94
8059,A,1,47748,6.92
8060,A,1,51135,7.89
8061,B,2,1755,2.62
8062,D,4,360,8.67
8063,B,2,6281,2.94
8064,C,3,8272,16.69
8065,C,3,17526,20.28
8066,D,4,690,9.57
8067,D,4,1230,10.07
8068,D,4,779,8
8069,B,2,4165,4.09
8070,C,3,21507,19.08
8071,A,1,53835,4.98
8072,C,3,9196,16.68
8073,D,4,1341,9.05
8074,A,1,51172,6.71
8075,A,1,55930,3.18
8076,D,4,1191,8.36
8077,B,2,2799,3.1
8078,D,4,929,8.56
8079,B,2,4983,4.3
8080,B,2,2069,2.76
8081,B,2,413,4.16
8082,B,2,367,2.37
8083,C,3,11291,21.89
8084,D,4,812,11.21
8085,C,3,17001,11.8
8086,C,3,8819,12.38
8087,D,4,1215,13.66
8088,B,2,723,4.13
8089,A,1,47883,2.68
8090,C,3,19890,18.42
8091,B,2,1933,2.59
8092,A,1,48355,8.03
8093,B,2,3621,3.82
8094,A,1,47899,5.28
8095,D,4,1280,10.93
8096,D,4,857,7.56
8097,D,4,901,8.7
8098,B,2,782,3.62
8099,B,2,762,2.38
8100,D,4,916,11.55
8101,A,1,47909,3.44
8102,A,1,52546,7.61
8103,D,4,671,5.18
8104,B,2,4103,3.9
8105,D,4,1292,8.43
8106,D,4,1297,10.46
8107,A,1,50510,6.5
8108,B,2,469,2.21
8109,B,2,2689,2.27
8110,D,4,1,10.52
8111,A,1,49745,6.41
8112,D,4,1048,8.65
8113,D,4,1790,8.78
8114,D,4,1455,7.88
8115,A,1,54313,4.39
8116,C,3,20520,17.19
8117,C,3,16651,12.64
8118,A,1,50189,6.15
8119,D,4,60,8.14
8120,D,4,1210,8.51
8121,C,3,14391,12.17
8122,B,2,3277,3.79
8123,B,2,4946,2.77
8124,B,2,275,2.65
8125,C,3,23217,14.52
8126,C,3,15854,12.96
8127,B,2,1411,3.27
8128,D,4,1146,12.03
8129,B,2,2637,2.64
8130,C,3,15538,16.42
8131,A,1,53769,5.82
8132,C,3,14804,16.98
8133,B,2,2683,4.68
8134,C,3,16529,13.24
8135,B,2,2243,5.08
8136,A,1,56072,5.34
8137,B,2,2260,2.66
8138,B,2,1212,3.69
8139,C,3,11938,22.78
8140,B,2,3537,2.62
8141,A,1,47112,8.67
8142,B,2,2506,3.54
8143,A,1,49385,7.43
8144,A,1,52267,5.89
8145,A,1,47015,4.18
8146,B,2,4058,4.37
8147,A,1,47701,7.52
8148,B,2,797,2.06
8149,D,4,620,8.88
8150,C,3,17818,18.98
8151,A,1,52008,8.72
8152,C,3,7370,7.89
8153,D,4,318,11.19
8154,D,4,951,12.17
8155,A,1,56729,2.29
8156,C,3,23048,14
8157,D,4,683,10.87
8158,C,3,22343,13.45
8159,D,4,492,14.74
8160,C,3,12565,14.34
8161,B,2,1373,3.03
8162,B,2,140,2.53
8163,A,1,50973,4.61
8164,C,3,9492,20.85
8165,D,4,688,8.28
8166,C,3,8702,14.84
8167,B,2,2350,3.37
8168,B,2,1949,2.8
8169,C,3,11224,17.83
8170,A,1,48716,2.61
8171,A,1,54920,4.61
8172,D,4,292,9.44
8173,A,1,43669,7.04
8174,A,1,51509,8.62
8175,D,4,1087,11.3
8176,C,3,9526,14.59
8177,B,2,118,2.92
8178,C,3,27632,12.73
8179,B,2,1255,3.78
8180,C,3,11711,7.75
8181,D,4,835,13.68
8182,A,1,49404,7.16
8183,C,3,12692,18.03
8184,A,1,58239,6.63
8185,D,4,1182,7.46
8186,D,4,1222,12.21
8187,A,1,50648,8.07
8188,B,2,1289,3.51
8189,A,1,48329,4.56
8190,B,2,4020,1.73
8191,D,4,945,10.38
8192,B,2,1161,2.3
8193,B,2,2483,4.68
8194,C,3,11487,13.17
8195,C,3,10898,15.36
8196,D,4,655,9.9
8197,D,4,1266,8.79
8198,B,2,6079,3.33
8199,D,4,718,11.87
8200,C,3,17761,17.3
8201,D,4,1420,9.53
8202,B,2,3160,3.98
8203,C,3,13701,16.58
8204,B,2,1745,4.04
8205,C,3,17676,17.69
8206,D,4,2224,12.33
8207,A,1,48255,8.05
8208,C,3,14866,11.53
8209,A,1,47623,8.63
8210,D,4,1317,10.88
8211,D,4,1080,5.71
8212,C,3,18267,15.75
8213,C,3,15256,11.98
8214,D,4,590,7.9
8215,D,4,792,10.17
8216,A,1,48099,4.09
8217,A,1,42036,5.84
8218,B,2,67,3.76
8219,B,2,837,2.18
8220,B,2,1652,2.55
8221,C,3,16182,19.04
8222,C,3,20214,18.89
8223,C,3,23061,18.21
8224,B,2,3731,3.77
8225,A,1,49423,3.7
8226,C,3,18594,14.63
8227,A,1,49100,6.59
8228,A,1,45610,5.55
8229,A,1,48546,8.62
8230,D,4,163,9.74
8231,A,1,54921,9.43
8232,A,1,53716,8.49
8233,B,2,4836,3.48
8234,D,4,344,9.74
8235,D,4,1173,8.53
8236,B,2,1353,2.14
8237,C,3,22784,15.99
8238,C,3,16167,16.22
8239,A,1,51448,4.72
8240,C,3,22235,11.12
8241,B,2,350,3.18
8242,C,3,17448,16.95
8243,A,1,50237,5.53
8244,A,1,46736,5.78
8245,B,2,3116,2.44
8246,B,2,4310,3.28
8247,C,3,10815,15.69
8248,B,2,45,4.31
8249,B,2,79,3.63
8250,C,3,15529,17.55
8251,D,4,151,10.55
8252,D,4,370,12.24
8253,B,2,144,2.33
8254,C,3,14488,12.08
8255,D,4,825,9.71
8256,B,2,2678,3.59
8257,A,1,52106,2.38
8258,A,1,43145,5.58
8259,A,1,49540,7.83
8260,C,3,14000,12.85
8261,D,4,773,11.72
8262,A,1,51410,8.34
8263,C,3,14032,20.74
8264,A,1,44818,3.52
8265,D,4,753,4.61
8266,B,2,2697,2.2
8267,B,2,4041,2.71
8268,A,1,47389,4.51
8269,A,1,50668,2.6
8270,B,2,3321,2.12
8271,D,4,1141,13.97
8272,D,4,214,8.79
8273,C,3,23919,16.99
8274,B,2,5918,0.71
8275,D,4,1276,11.81
8276,C,3,8962,12.43
8277,B,2,2032,3.14
8278,B,2,277,2.09
8279,C,3,21030,19.69
8280,C,3,17141,15.42
8281,C,3,10387,8.69
8282,C,3,10576,15.25
8283,B,2,4602,2.6
8284,B,2,1727,3.75
8285,A,1,51129,6.17
8286,A,1,51170,6.05
8287,B,2,215,4.14
8288,A,1,51362,9.76
8289,A,1,53213,4.97
8290,D,4,1080,14.96
8291,A,1,48324,7.24
8292,B,2,52,1.92
8293,B,2,3135,2.83
8294,A,1,47323,7.69
8295,C,3,10192,15.85
8296,C,3,5722,15.27
8297,C,3,19025,19.81
8298,D,4,673,9.11
8299,D,4,1357,9.54
8300,D,4,1469,10.73
8301,A,1,60076,6.24
8302,D,4,1441,9.69
8303,C,3,16394,18.75
8304,D,4,660,10.61
8305,D,4,959,9.78
8306,A,1,57269,4.38
8307,B,2,898,3.99
8308,B,2,772,2.16
8309,D,4,1121,8.67
8310,A,1,57977,9.24
8311,C,3,9233,20.13
8312,D,4,1033,12.35
8313,B,2,4732,2.74
8314,D,4,713,11.73
8315,C,3,14355,14.01
8316,A,1,47691,5.98
8317,D,4,997,12.04
8318,C,3,20354,19.74
8319,C,3,21399,16.65
8320,D,4,1066,7.81
8321,D,4,247,11.29
8322,D,4,1127,6.95
8323,D,4,397,10.59
8324,A,1,54443,5.4
8325,B,2,1295,3.46
8326,B,2,3603,2.9
8327,B,2,914,3.23
8328,C,3,24643,17.29
8329,A,1,53173,6.8
8330,D,4,714,11.64
8331,C,3,14158,17.04
8332,C,3,18736,19.88
8333,A,1,49719,7.26
8334,A,1,51421,5.4
8335,B,2,1096,2.96
8336,D,4,1128,8.55
8337,D,4,1923,11.02
8338,A,1,43639,5.88
8339,C,3,12552,18.51
8340,C,3,10200,18.14
8341,D,4,1113,9.1
8342,C,3,12143,10.26
8343,D,4,1430,11.29
8344,C,3,20451,14.8
8345,A,1,46406,4.05
8346,C,3,16129,20.98
8347,A,1,56746,3.57
8348,C,3,17213,12.84
8349,A,1,44852,2.94
8350,A,1,47461,7.04
8351,D,4,1451,13.27
8352,A,1,54702,6.22
8353,A,1,53072,8.08
8354,D,4,1375,10.97
8355,A,1,48462,8.8
8356,B,2,1752,5.05
8357,A,1,52364,9.66
8358,B,2,3059,2.9
8359,A,1,53184,7.03
8360,A,1,48884,4.98
8361,D,4,1498,8.52
8362,D,4,1273,12.37
8363,D,4,806,7
8364,D,4,669,11.87
8365,B,2,2242,3.3
8366,C,3,15869,14.05
8367,D,4,129,8.66
8368,D,4,627,10.18
8369,A,1,52299,4.52
8370,A,1,47298,4.45
8371,A,1,47879,5.67
8372,D,4,567,10.41
8373,A,1,55255,5.74
8374,A,1,46460,5.04
8375,C,3,16845,20.79
8376,A,1,41173,7.63
8377,D,4,589,11.6
8378,A,1,53194,4.76
8379,B,2,406,4.47
8380,D,4,367,13.46
8381,C,3,25344,20.19
8382,D,4,71,8.22
8383,A,1,44982,6.16
8384,D,4,620,7.55
8385,D,4,179,13.74
8386,C,3,20515,17.35
8387,C,3,12447,21.19
8388,B,2,452,3.29
8389,B,2,4437,3.2
8390,C,3,9697,11.31
8391,D,4,1834,9.6
8392,A,1,47774,7.22
8393,A,1,50011,3.63
8394,D,4,1150,8.85
8395,C,3,13669,16.78
8396,D,4,379,9.09
8397,C,3,11588,15.53
8398,D,4,987,10.67
8399,B,2,908,2.5
8400,A,1,43884,5.12
8401,C,3,12294,11.79
8402,A,1,49894,8.35
8403,B,2,3607,3.7
8404,D,4,867,10.06
8405,C,3,5774,14.77
8406,A,1,52569,5.26
8407,A,1,48095,8.05
8408,C,3,10853,13.89
8409,C,3,20360,17.81
8410,D,4,785,6.06
8411,A,1,51202,6.95
8412,B,2,497,2.2
8413,C,3,12835,18.08
8414,D,4,1209,10.05
8415,C,3,23086,14.65
8416,C,3,8136,15.87
8417,A,1,51813,7.57
8418,A,1,51613,4.49
8419,C,3,20842,18.89
8420,B,2,2177,2.72
8421,B,2,1020,1.74
8422,C,3,8614,11.94
8423,C,3,10647,23.48
8424,B,2,1734,3.59
8425,A,1,45026,2.91
8426,B,2,4294,2.25
8427,B,2,3169,3.92
8428,B,2,718,2.6
8429,C,3,9211,18.11
8430,A,1,51798,7.13
8431,C,3,23236,17.11
8432,D,4,518,9.85
8433,B,2,2284,3.53
8434,C,3,12849,16.54
8435,C,3,13786,15.19
8436,D,4,772,6.08
8437,B,2,3082,3.93
8438,D,4,739,12.13
8439,C,3,10648,17.99
8440,D,4,820,7.77
8441,B,2,5762,4.14
8442,A,1,48406,4.03
8443,D,4,551,9.95
8444,C,3,13523,18.26
8445,A,1,53755,4.37
8446,C,3,18667,12.72
8447,B,2,3227,3.43
8448,C,3,13426,13.25
8449,D,4,1282,6.35
8450,B,2,4793,2.49
8451,B,2,3824,3.85
8452,A,1,46616,6.92
8453,D,4,255,7.63
8454,A,1,46376,6.36
8455,D,4,501,12.23
8456,C,3,6398,9.68
8457,D,4,667,10.36
8458,A,1,48738,5.06
8459,C,3,20675,16.95
8460,D,4,434,5.28
8461,A,1,46684,7.14
8462,A,1,43717,6.87
8463,C,3,17860,11.8
8464,C,3,4948,11.6
8465,D,4,925,7.76
8466,B,2,3664,1.77
8467,B,2,2322,2.33
8468,B,2,3997,4.23
8469,A,1,47240,4.01
8470,A,1,50743,3.35
8471,C,3,5277,17.69
8472,B,2,1544,1.19
8473,A,1,49629,7.11
8474,A,1,50530,6.19
8475,B,2,3392,3.44
8476,D,4,191,9.26
8477,C,3,10043,19.7
8478,D,4,1233,12.14
8479,A,1,48857,8.52
8480,B,2,495,3.47
8481,B,2,4430,2.86
8482,B,2,3057,2.35
8483,A,1,51376,4.42
8484,A,1,45134,6.71
8485,B,2,2508,4.42
8486,D,4,462,8.99
8487,C,3,17308,17.04
8488,A,1,55016,5.02
8489,D,4,1558,10.25
8490,C,3,19042,10.64
8491,D,4,439,6.55
8492,A,1,50776,4.1
8493,A,1,50464,7.37
8494,D,4,1677,12.14
8495,B,2,1166,3.79
8496,C,3,13239,18.12
8497,D,4,71,11.94
8498,B,2,5511,3.36
8499,D,4,924,9.41
8500,C,3,16877,10.77
8501,D,4,691,8.81
8502,C,3,14560,14.58
8503,A,1,40630,6.17
8504,B,2,3533,3.37
8505,D,4,1209,13.49
